preprocessing_setting,split_mode,threshold,precision,recall,f1,false_positive_rate,pr_auc,roc_auc,tn,fp,fn,tp,feature_whitelist_active,selected_feature_count,label_policy
onehot_robust,time,0.1,0.03941038180357302,0.9776082677165354,0.07576638855780692,0.8491284065799165,0.1857702524642842,0.8025148835702866,17206,96838,91,3973,False,443,transaction
onehot_robust,time,0.15000000000000002,0.045990240861297944,0.9438976377952756,0.08770706389400158,0.6977394689768861,0.1857702524642842,0.8025148835702866,34471,79573,228,3836,False,443,transaction
onehot_robust,time,0.20000000000000004,0.053747238761209536,0.9040354330708661,0.10146228303944989,0.5671758268738382,0.1857702524642842,0.8025148835702866,49361,64683,390,3674,False,443,transaction
onehot_robust,time,0.25000000000000006,0.06172427129847755,0.8639271653543307,0.11521674925343747,0.4679860404756059,0.1857702524642842,0.8025148835702866,60673,53371,553,3511,False,443,transaction
onehot_robust,time,0.30000000000000004,0.06999283637436265,0.8174212598425197,0.128944610487909,0.3870435972080951,0.1857702524642842,0.8025148835702866,69904,44140,742,3322,False,443,transaction
onehot_robust,time,0.3500000000000001,0.07885204792421287,0.765994094488189,0.14298509519325725,0.3188769246957315,0.1857702524642842,0.8025148835702866,77678,36366,951,3113,False,443,transaction
onehot_robust,time,0.40000000000000013,0.08929725736448425,0.7138287401574803,0.1587371070558945,0.25942618638420256,0.1857702524642842,0.8025148835702866,84458,29586,1163,2901,False,443,transaction
onehot_robust,time,0.45000000000000007,0.10078704912529375,0.6648622047244095,0.17503967868363943,0.21138332573392726,0.1857702524642842,0.8025148835702866,89937,24107,1362,2702,False,443,transaction
onehot_robust,time,0.5000000000000001,0.11500785509657148,0.6124507874015748,0.19365128763712752,0.16794395145733226,0.1857702524642842,0.8025148835702866,94891,19153,1575,2489,False,443,transaction
onehot_robust,time,0.5500000000000002,0.13184971098265896,0.56126968503937,0.21353679086313423,0.13169478446915225,0.1857702524642842,0.8025148835702866,99025,15019,1783,2281,False,443,transaction
onehot_robust,time,0.6000000000000002,0.1483187134502924,0.49926181102362205,0.22869702434625788,0.1021623233138087,0.1857702524642842,0.8025148835702866,102393,11651,2035,2029,False,443,transaction
onehot_robust,time,0.6500000000000001,0.17066567080571377,0.4498031496062992,0.2474450084602369,0.07789098944267125,0.1857702524642842,0.8025148835702866,105161,8883,2236,1828,False,443,transaction
onehot_robust,time,0.7000000000000002,0.1928108570729918,0.38804133858267714,0.25761659723923874,0.05788993721721441,0.1857702524642842,0.8025148835702866,107442,6602,2487,1577,False,443,transaction
onehot_robust,time,0.7500000000000002,0.2207482993197279,0.31938976377952755,0.2610619469026549,0.04017747536038722,0.1857702524642842,0.8025148835702866,109462,4582,2766,1298,False,443,transaction
onehot_robust,time,0.8000000000000002,0.264737121614445,0.2453248031496063,0.254661558109834,0.024280102416611132,0.1857702524642842,0.8025148835702866,111275,2769,3067,997,False,443,transaction
onehot_robust,time,0.8500000000000002,0.3227665706051873,0.16535433070866143,0.21867881548974943,0.012363649117884325,0.1857702524642842,0.8025148835702866,112634,1410,3392,672,False,443,transaction
onehot_robust,time,0.9000000000000002,0.4166666666666667,0.07997047244094488,0.13418662262592898,0.003989688190522956,0.1857702524642842,0.8025148835702866,113589,455,3739,325,False,443,transaction
frequency_robust,time,0.1,0.04124272093172074,0.9515255905511811,0.07905873694109951,0.7882483953561783,0.16212335456040722,0.7695000152931719,24149,89895,197,3867,False,443,transaction
frequency_robust,time,0.15000000000000002,0.0482741170830448,0.8919783464566929,0.09159128808934257,0.6266616393672617,0.16212335456040722,0.7695000152931719,42577,71467,439,3625,False,443,transaction
frequency_robust,time,0.20000000000000004,0.05619153637828767,0.8321850393700787,0.10527462607585875,0.49809722563221215,0.16212335456040722,0.7695000152931719,57239,56805,682,3382,False,443,transaction
frequency_robust,time,0.25000000000000006,0.06501344610268306,0.7792814960629921,0.12001440021221366,0.3993721721440847,0.16212335456040722,0.7695000152931719,68498,45546,897,3167,False,443,transaction
frequency_robust,time,0.30000000000000004,0.07434409687184662,0.7251476377952756,0.1348617975471353,0.32174423906562377,0.16212335456040722,0.7695000152931719,77351,36693,1117,2947,False,443,transaction
frequency_robust,time,0.3500000000000001,0.0850698241119685,0.6700295275590551,0.15097164083940898,0.25679562274209955,0.16212335456040722,0.7695000152931719,84758,29286,1341,2723,False,443,transaction
frequency_robust,time,0.40000000000000013,0.09589470385459103,0.6023622047244095,0.1654501216545012,0.20237802953246115,0.16212335456040722,0.7695000152931719,90964,23080,1616,2448,False,443,transaction
frequency_robust,time,0.45000000000000007,0.10906480518837566,0.5420767716535433,0.18159337262498454,0.15779874434428817,0.16212335456040722,0.7695000152931719,96048,17996,1861,2203,False,443,transaction
frequency_robust,time,0.5000000000000001,0.12552327793987061,0.48695866141732286,0.19959657085224408,0.12089193644558241,0.16212335456040722,0.7695000152931719,100257,13787,2085,1979,False,443,transaction
frequency_robust,time,0.5500000000000002,0.14340894148586456,0.42937992125984253,0.21500739280433712,0.09139454947213356,0.16212335456040722,0.7695000152931719,103621,10423,2319,1745,False,443,transaction
frequency_robust,time,0.6000000000000002,0.16487455197132617,0.3735236220472441,0.22876949740034663,0.06742134614710112,0.16212335456040722,0.7695000152931719,106355,7689,2546,1518,False,443,transaction
frequency_robust,time,0.6500000000000001,0.1868322263933006,0.3184055118110236,0.23548680618744314,0.049384448107747884,0.16212335456040722,0.7695000152931719,108412,5632,2770,1294,False,443,transaction
