candidate,candidate_type,feature_count,train_auc,validation_auc,auc_delta,inversion_flag,keep,drop_reason,label_policy
V14,single_feature,1,0.9794447718665864,0.944117050761451,-0.03532772110513538,False,True,,transaction
V17,single_feature,1,0.973275609298398,0.9209668289767434,-0.052308780321654536,False,True,,transaction
V3,single_feature,1,0.9556604283789313,0.9172778783670551,-0.03838255001187618,False,True,,transaction
V4,single_feature,1,0.9605889786774882,0.9166486777881296,-0.04394030088935852,False,True,,transaction
V10,single_feature,1,0.9735237496709489,0.9086120437592655,-0.06491170591168338,False,True,,transaction
V12,single_feature,1,0.9682196901576579,0.8893135514265122,-0.0789061387311456,False,True,,transaction
V11,single_feature,1,0.9588373027973905,0.861767363369487,-0.09706993942790354,False,True,,transaction
V2,single_feature,1,0.9246221695088862,0.8429399804290377,-0.08168218907984848,False,True,,transaction
V9,single_feature,1,0.8934610295976584,0.8193304855825291,-0.07413054401512931,False,True,,transaction
V27,single_feature,1,0.8943557472522603,0.8032708117261707,-0.09108493552608965,False,True,,transaction
V6,single_feature,1,0.8679206527461759,0.7942376992986095,-0.07368295344756637,False,True,,transaction
V24,single_feature,1,0.7328209584053336,0.641363639027077,-0.09145731937825652,False,True,,transaction
uid_time_since_last_tx,single_feature,1,0.5800122872896354,0.5512384200256649,-0.028773867263970465,False,True,,transaction
time_since_last_tx,single_feature,1,0.5800129796001345,0.5512384200256649,-0.028774559574469616,False,True,,transaction
V16,single_feature,1,0.9481159624972959,0.8357381006791242,-0.11237786181817166,False,False,auc_delta_exceeds_max_drop,transaction
V7,single_feature,1,0.9405938867516858,0.8086072389122295,-0.13198664783945624,False,False,auc_delta_exceeds_max_drop,transaction
V21,single_feature,1,0.9170037730107721,0.7526764755861036,-0.16432729742466845,False,False,auc_delta_exceeds_max_drop,transaction
V28,single_feature,1,0.8812119717915237,0.7255245193688071,-0.15568745242271653,False,False,auc_delta_exceeds_max_drop,transaction
Amount,single_feature,1,0.8424426327085923,0.7189649656336246,-0.12347766707496777,False,False,auc_delta_exceeds_max_drop,transaction
V20,single_feature,1,0.8256354840244059,0.7117458587492161,-0.11388962527518975,False,False,auc_delta_exceeds_max_drop,transaction
amount_over_user_avg,single_feature,1,0.8176341257926547,0.7077854928776932,-0.1098486329149615,False,False,auc_delta_exceeds_max_drop,transaction
V8,single_feature,1,0.8523916558503333,0.6885164155841111,-0.16387524026622213,False,False,auc_delta_exceeds_max_drop,transaction
V1,single_feature,1,0.8920151431926168,0.6833625725854179,-0.20865257060719888,False,False,auc_delta_exceeds_max_drop,transaction
V19,single_feature,1,0.8262737372908082,0.6786610883564493,-0.14761264893435888,False,False,auc_delta_exceeds_max_drop,transaction
V18,single_feature,1,0.9061316067598174,0.6686998201112146,-0.23743178664860276,False,False,auc_delta_exceeds_max_drop,transaction
V26,single_feature,1,0.7227713466204823,0.5944266118210956,-0.12834473479938668,False,False,auc_delta_exceeds_max_drop,transaction
V13,single_feature,1,0.7074278482142624,0.5899940818347484,-0.11743376637951397,False,False,auc_delta_exceeds_max_drop,transaction
V5,single_feature,1,0.886728937145374,0.5684929773058871,-0.31823595983948694,False,False,auc_delta_exceeds_max_drop,transaction
V23,single_feature,1,0.7955268922719252,0.5197376084752814,-0.2757892837966438,False,False,validation_auc_below_threshold,transaction
V25,single_feature,1,0.743980824465243,0.5043277608826856,-0.23965306358255745,False,False,validation_auc_below_threshold,transaction
V15,single_feature,1,0.7119444574761715,0.43889242416252106,-0.27305203331365047,True,False,validation_auc_below_threshold,transaction
V22,single_feature,1,0.7193797419196777,0.43435969553676584,-0.28502004638291184,True,False,validation_auc_below_threshold,transaction
